match_id,date,match_date,tournament,city,country,level,round,best_of_5,surface,indoor,player_a_id,player_b_id,winner_id,duration_minutes
2015-339_20150104_1.0,2015-01-04,2015-01-04,Brisbane,Brisbane,,250,R32,0,hard,0,MH30,W522,MH30,65.0
2015-339_20150104_2.0,2015-01-04,2015-01-04,Brisbane,Brisbane,,250,R32,0,hard,0,B747,KD46,KD46,75.0
2015-339_20150104_3.0,2015-01-04,2015-01-04,Brisbane,Brisbane,,250,R32,0,hard,0,Q927,TA46,TA46,83.0
2015-339_20150104_4.0,2015-01-04,2015-01-04,Brisbane,Brisbane,,250,R32,0,hard,0,J386,ME05,J386,136.0
2015-339_20150104_5.0,2015-01-04,2015-01-04,Brisbane,Brisbane,,250,R32,0,hard,0,KB09,N289,N289,104.0
2015-339_20150104_6.0,2015-01-04,2015-01-04,Brisbane,Brisbane,,250,R32,0,hard,0,D994,SD32,D994,68.0
2015-339_20150104_7.0,2015-01-04,2015-01-04,Brisbane,Brisbane,,250,R32,0,hard,0,CA12,G806,CA12,69.0
2015-339_20150104_8.0,2015-01-04,2015-01-04,Brisbane,Brisbane,,250,R32,0,hard,0,K966,M762,K966,144.0
2015-339_20150104_9.0,2015-01-04,2015-01-04,Brisbane,Brisbane,,250,R32,0,hard,0,B884,D801,D801,78.0
2015-339_20150104_10.0,2015-01-04,2015-01-04,Brisbane,Brisbane,,250,R32,0,hard,0,A678,K540,K540,110.0
2015-339_20150104_11.0,2015-01-04,2015-01-04,Brisbane,Brisbane,,250,R32,0,hard,0,G940,H432,G940,59.0
2015-339_20150104_12.0,2015-01-04,2015-01-04,Brisbane,Brisbane,,250,R32,0,hard,0,CA99,K926,K926,113.0
2015-339_20150104_13.0,2015-01-04,2015-01-05,Brisbane,Brisbane,,250,R16,0,hard,0,F324,MH30,F324,122.0
2015-339_20150104_14.0,2015-01-04,2015-01-05,Brisbane,Brisbane,,250,R16,0,hard,0,D994,N289,D994,123.0
2015-339_20150104_15.0,2015-01-04,2015-01-05,Brisbane,Brisbane,,250,R16,0,hard,0,CA12,D875,D875,148.0
2015-339_20150104_16.0,2015-01-04,2015-01-05,Brisbane,Brisbane,,250,R16,0,hard,0,D801,K966,K966,147.0
2015-339_20150104_17.0,2015-01-04,2015-01-05,Brisbane,Brisbane,,250,R16,0,hard,0,G940,K540,G940,148.0
2015-339_20150104_18.0,2015-01-04,2015-01-05,Brisbane,Brisbane,,250,R16,0,hard,0,K926,R975,R975,61.0
2015-339_20150104_19.0,2015-01-04,2015-01-05,Brisbane,Brisbane,,250,R16,0,hard,0,KD46,TA46,TA46,79.0
2015-339_20150104_20.0,2015-01-04,2015-01-05,Brisbane,Brisbane,,250,R16,0,hard,0,J386,N552,N552,81.0
2015-339_20150104_21.0,2015-01-04,2015-01-06,Brisbane,Brisbane,,250,QF,0,hard,0,D994,F324,F324,41.0
2015-339_20150104_22.0,2015-01-04,2015-01-06,Brisbane,Brisbane,,250,QF,0,hard,0,D875,K966,D875,73.0
2015-339_20150104_23.0,2015-01-04,2015-01-06,Brisbane,Brisbane,,250,QF,0,hard,0,G940,R975,R975,121.0
