match_id,player_id,service_games,return_games,hold_games_won,break_games_won,aces,double_faults,first_sv_in,first_sv_pts_won,second_sv_pts_won,second_sv_attempts
2015-339_20150104_1.0,MH30,8.0,8.0,,,6.0,2.0,24.0,19.0,14.0,
2015-339_20150104_1.0,W522,8.0,8.0,,,3.0,4.0,31.0,20.0,5.0,
2015-339_20150104_2.0,KD46,10.0,9.0,,,9.0,1.0,30.0,25.0,14.0,
2015-339_20150104_2.0,B747,9.0,10.0,,,5.0,3.0,33.0,23.0,7.0,
2015-339_20150104_3.0,TA46,12.0,12.0,,,5.0,0.0,46.0,36.0,21.0,
2015-339_20150104_3.0,Q927,12.0,12.0,,,20.0,3.0,42.0,35.0,14.0,
2015-339_20150104_4.0,J386,16.0,16.0,,,14.0,3.0,58.0,45.0,24.0,
2015-339_20150104_4.0,ME05,16.0,16.0,,,10.0,5.0,68.0,51.0,19.0,
2015-339_20150104_5.0,N289,14.0,13.0,,,4.0,0.0,59.0,39.0,17.0,
2015-339_20150104_5.0,KB09,13.0,14.0,,,6.0,1.0,50.0,26.0,19.0,
2015-339_20150104_6.0,D994,8.0,8.0,,,4.0,0.0,27.0,20.0,11.0,
2015-339_20150104_6.0,SD32,8.0,8.0,,,2.0,1.0,37.0,22.0,5.0,
2015-339_20150104_7.0,CA12,10.0,10.0,,,7.0,1.0,39.0,31.0,11.0,
2015-339_20150104_7.0,G806,10.0,10.0,,,9.0,2.0,38.0,30.0,8.0,
2015-339_20150104_8.0,K966,16.0,15.0,,,9.0,4.0,79.0,55.0,27.0,
2015-339_20150104_8.0,M762,15.0,16.0,,,4.0,4.0,62.0,40.0,19.0,
2015-339_20150104_9.0,D801,9.0,8.0,,,6.0,1.0,31.0,24.0,12.0,
2015-339_20150104_9.0,B884,8.0,9.0,,,3.0,2.0,53.0,32.0,8.0,
2015-339_20150104_10.0,K540,11.0,11.0,,,6.0,5.0,51.0,35.0,14.0,
2015-339_20150104_10.0,A678,11.0,11.0,,,12.0,3.0,43.0,30.0,17.0,
2015-339_20150104_11.0,G940,9.0,8.0,,,14.0,0.0,34.0,30.0,8.0,
2015-339_20150104_11.0,H432,8.0,9.0,,,1.0,2.0,22.0,13.0,14.0,
2015-339_20150104_12.0,K926,15.0,15.0,,,3.0,1.0,56.0,42.0,16.0,
2015-339_20150104_12.0,CA99,15.0,15.0,,,17.0,2.0,56.0,46.0,15.0,
2015-339_20150104_13.0,F324,14.0,15.0,,,8.0,3.0,50.0,37.0,19.0,
2015-339_20150104_13.0,MH30,15.0,14.0,,,2.0,2.0,72.0,44.0,20.0,
2015-339_20150104_14.0,D994,16.0,15.0,,,16.0,3.0,66.0,51.0,24.0,
2015-339_20150104_14.0,N289,15.0,16.0,,,5.0,0.0,60.0,45.0,19.0,
2015-339_20150104_15.0,D875,16.0,15.0,,,10.0,3.0,64.0,46.0,23.0,
2015-339_20150104_15.0,CA12,15.0,16.0,,,9.0,6.0,78.0,60.0,20.0,
2015-339_20150104_16.0,K966,15.0,16.0,,,4.0,5.0,73.0,46.0,18.0,
2015-339_20150104_16.0,D801,16.0,15.0,,,16.0,2.0,68.0,51.0,19.0,
2015-339_20150104_17.0,G940,17.0,17.0,,,21.0,2.0,80.0,62.0,19.0,
2015-339_20150104_17.0,K540,17.0,17.0,,,14.0,5.0,75.0,58.0,22.0,
2015-339_20150104_18.0,R975,10.0,9.0,,,17.0,4.0,31.0,28.0,12.0,
2015-339_20150104_18.0,K926,9.0,10.0,,,1.0,1.0,32.0,22.0,12.0,
2015-339_20150104_19.0,TA46,10.0,9.0,,,8.0,1.0,51.0,38.0,12.0,
2015-339_20150104_19.0,KD46,9.0,10.0,,,7.0,3.0,32.0,23.0,14.0,
2015-339_20150104_20.0,N552,11.0,11.0,,,7.0,1.0,45.0,34.0,16.0,
2015-339_20150104_20.0,J386,11.0,11.0,,,6.0,1.0,33.0,24.0,17.0,
2015-339_20150104_21.0,F324,6.0,7.0,,,12.0,2.0,21.0,19.0,6.0,
